2454359.687716 39.14999999999935 16.36 CORALIE
2454362.573582 -12.81999999999961 16.02 CORALIE
2454364.628975 -8.630000000000138 20.060000000000002 CORALIE
2454365.707645 -28.679999999999595 13.34 CORALIE
2454372.735312 -28.77999999999936 12.88 CORALIE
2454377.716124 35.10999999999953 14.52 CORALIE
2454377.739618 39.6099999999997 13.93 CORALIE
2454378.693586 -62.61999999999901 12.71 CORALIE
2454378.719349 -64.30999999999898 13.06 CORALIE
2454379.690005 10.600000000000165 14.14 CORALIE
2454379.713452 19.97000000000071 13.33 CORALIE
2454380.563292 84.22000000000018 12.02 CORALIE
2454380.586751 65.39000000000073 11.42 CORALIE
2454382.617808 -51.22000000000071 14.22 CORALIE
2454383.601838 57.970000000000965 12.25 CORALIE
2454383.625413 42.139999999999844 12.53 CORALIE
2454385.740623 -79.34999999999981 25.55 CORALIE
2454386.638647 14.029999999999987 14.069999999999999 CORALIE
2454386.66486 44.769999999999754 13.84 CORALIE
2454387.668883 38.42000000000034 25.78 CORALIE
2454387.690688 45.02000000000095 32.9 CORALIE
2454390.521372 72.30000000000025 12.73 CORALIE
2454390.544901 63.819999999999766 13.14 CORALIE
2454398.647981 -88.9799999999994 13.610000000000001 CORALIE
2454398.671428 -64.71999999999944 13.729999999999999 CORALIE
2454399.616495 -37.86999999999985 12.040000000000001 CORALIE
2454399.652117 -27.900000000000702 12.25 CORALIE
2454720.614742 54.57999999999963 17.21 CORALIE
2454722.651535 10.130000000000194 14.83 CORALIE
2454724.579899 -47.689999999999344 16.16 CORALIE
2454725.545387 -14.699999999999491 18.35 CORALIE
2454726.613463 74.63000000000086 16.7 CORALIE
2454730.622609 25.589999999999336 14.59 CORALIE
2454732.703073 21.20999999999995 18.08 CORALIE
2454734.747409 -32.37999999999985 16.490000000000002 CORALIE
2454746.564605 62.38000000000099 5.760000000000001 HARPS
2454746.750752 63.400000000001455 5.55 HARPS
2454747.504842 31.200000000000117 5.590000000000001 HARPS
2454747.57978 20.970000000000155 7.11 HARPS
2454747.586192 27.990000000000848 6.77 HARPS
2454747.592603 14.590000000000103 6.6499999999999995 HARPS
2454747.598784 18.13000000000109 7.8100000000000005 HARPS
2454747.605195 16.41000000000048 8.19 HARPS
2454747.611549 4.400000000000404 8.85 HARPS
2454747.617718 11.530000000000484 8.11 HARPS
2454747.624372 -3.629999999999356 8.08 HARPS
2454747.630668 19.86000000000132 7.16 HARPS
2454747.636837 34.290000000000376 8.120000000000001 HARPS
2454747.643307 12.370000000000658 8.08 HARPS
2454747.650089 38.99000000000008 7.66 HARPS
2454747.655956 21.069999999999922 6.119999999999999 HARPS
2454747.66231 21.22000000000135 6.4799999999999995 HARPS
2454747.668664 10.279999999999845 7.0600000000000005 HARPS
2454747.675076 0.6700000000012807 6.34 HARPS
2454747.681372 7.070000000000576 6.24 HARPS
2454747.687841 -20.220000000000127 6.159999999999999 HARPS
2454747.694137 -26.650000000000063 5.71 HARPS
2454747.700491 -12.599999999999056 6.18 HARPS
2454747.706729 -16.21999999999879 6.550000000000001 HARPS
2454747.713256 -32.33999999999959 6.19 HARPS
2454747.719494 -19.80999999999966 6.25 HARPS
2454747.725906 -19.73999999999876 5.91 HARPS
2454747.73226 -0.7299999999990092 6.029999999999999 HARPS
2454747.738672 -24.63000000000015 6.890000000000001 HARPS
2454747.744968 -16.370000000000218 6.680000000000001 HARPS
2454747.751264 -25.139999999998608 6.8500000000000005 HARPS
2454747.757617 -20.6799999999987 7.34 HARPS
2454747.764029 -8.379999999998944 7.590000000000001 HARPS
2454747.770383 -23.569999999999425 7.83 HARPS
2454747.776621 11.900000000000688 8.18 HARPS
2454747.783206 -24.720000000000297 8.86 HARPS
2454747.789329 -7.130000000000081 8.75 HARPS
2454747.795798 -31.10999999999997 9.16 HARPS
2454748.775349 -58.10999999999922 4.0600000000000005 HARPS
2454749.703663 46.25000000000057 2.7 HARPS
2454750.655365 54.33000000000021 2.4 HARPS
2454753.74191 62.05000000000105 4.14 HARPS
2454754.75034 -52.049999999999486 2.99 HARPS
2454755.730495 -45.91999999999885 2.61 HARPS
